owner,repo_name,url,state,stars,Final Label1,Final Label2,Final Label3,Final Label4
INCATools,ontology-access-kit,https://github.com/INCATools/ontology-access-kit/pull/817,MERGED,142,docs,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/66,MERGED,29,refactor,style,,
muno92,resharper_inspectcode,https://github.com/muno92/resharper_inspectcode/pull/476,MERGED,26,fix,,,
567-labs,instructor,https://github.com/567-labs/instructor/pull/1430,MERGED,10691,docs,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/164,MERGED,126,feat,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/214,MERGED,1223,refactor,,,
alexfedosov,move-tool,https://github.com/alexfedosov/move-tool/pull/3,MERGED,78,test,,,
coder,coder,https://github.com/coder/coder/pull/15415,MERGED,9997,docs,,,
qltysh,qlty,https://github.com/qltysh/qlty/pull/1945,MERGED,2655,fix,,,
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/114,MERGED,868,fix,refactor,,
OpenAdaptAI,OpenAdapt,https://github.com/OpenAdaptAI/OpenAdapt/pull/680,MERGED,1289,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/74,MERGED,126,feat,,,
llun,activities.next,https://github.com/llun/activities.next/pull/89,MERGED,68,feat,,,
Nayshins,ummon,https://github.com/Nayshins/ummon/pull/48,MERGED,25,build,,,
84codes,crystal-packages,https://github.com/84codes/crystal-packages/pull/22,MERGED,17,fix,,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/546,MERGED,250,refactor,,,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/34,MERGED,109,feat,docs,build,test
codefriar,sf-mcp,https://github.com/codefriar/sf-mcp/pull/2,MERGED,28,feat,,,
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/13882,MERGED,9923,docs,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/105,MERGED,77,refactor,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/85,MERGED,29,docs,,,
coder,coder,https://github.com/coder/coder/pull/17356,MERGED,9997,chore,,,
coder,coder,https://github.com/coder/coder/pull/14786,MERGED,9997,feat,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/737,MERGED,126,fix,,,
dxos,dxos,https://github.com/dxos/dxos/pull/6916,MERGED,429,feat,,,
rishikanthc,Scriberr,https://github.com/rishikanthc/Scriberr/pull/59,MERGED,868,ci,,,
mc-bench,mc-bench-frontend,https://github.com/mc-bench/mc-bench-frontend/pull/2,MERGED,16,feat,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/59,MERGED,77,fix,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/251,MERGED,1223,feat,,,
oven-sh,bun,https://github.com/oven-sh/bun/pull/11211,MERGED,78437,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/203,MERGED,126,feat,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/29506,MERGED,32708,fix,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/1,MERGED,29,feat,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/44,MERGED,29,fix,,,
danmayer,coverband,https://github.com/danmayer/coverband/pull/538,MERGED,2565,feat,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/442,MERGED,1223,fix,,,
artsy,eigen,https://github.com/artsy/eigen/pull/10279,MERGED,3667,fix,,,
pytorch,test-infra,https://github.com/pytorch/test-infra/pull/6336,MERGED,93,chore,,,
devondragon,SpringUserFramework,https://github.com/devondragon/SpringUserFramework/pull/168,MERGED,152,docs,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/112,MERGED,29,chore,,,
