owner,repo_name,url,state,stars,label1,label2,label3,label4
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/163,MERGED,29,refactor,docs,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1730,MERGED,250,docs,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/265,MERGED,646,fix,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/429,MERGED,1223,refactor,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/90,MERGED,29,docs,,,
compiler-explorer,infra,https://github.com/compiler-explorer/infra/pull/1598,MERGED,373,feat,,,
monarch-initiative,aurelian,https://github.com/monarch-initiative/aurelian/pull/20,MERGED,14,feat,docs,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/744,MERGED,126,refactor,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/115,MERGED,29,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/718,MERGED,126,build,,,
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/49,MERGED,23,ci,,,
shopwareLabs,extension-verifier,https://github.com/shopwareLabs/extension-verifier/pull/50,MERGED,32,fix,test,,
synapsecns,sanguine,https://github.com/synapsecns/sanguine/pull/3595,MERGED,49,ci,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/88,MERGED,29,test,,,
qltysh,qlty,https://github.com/qltysh/qlty/pull/1591,MERGED,2655,fix,test,,
defog-ai,defog-python,https://github.com/defog-ai/defog-python/pull/80,MERGED,48,feat,test,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30609,MERGED,32708,fix,test,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/96,MERGED,29,refactor,test,,
py-typedlogic,py-typedlogic,https://github.com/py-typedlogic/py-typedlogic/pull/4,MERGED,12,ci,test,,
axelclark,ex338,https://github.com/axelclark/ex338/pull/1355,MERGED,24,build,ci,test,
llun,activities.next,https://github.com/llun/activities.next/pull/102,MERGED,68,refactor,,,
hicommonwealth,commonwealth,https://github.com/hicommonwealth/commonwealth/pull/11935,MERGED,80,fix,,,
commontoolsinc,labs,https://github.com/commontoolsinc/labs/pull/568,MERGED,18,docs,,,
mc-bench,mc-bench-backend,https://github.com/mc-bench/mc-bench-backend/pull/136,MERGED,29,build,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/120,MERGED,29,refactor,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/441,MERGED,1223,feat,test,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/445,MERGED,1223,fix,,,
julep-ai,julep,https://github.com/julep-ai/julep/pull/1275,MERGED,5478,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/552,MERGED,126,refactor,build,,
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/61,MERGED,23,chore,,,
ascorbic,unpic-img,https://github.com/ascorbic/unpic-img/pull/784,MERGED,1728,docs,,,
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/22,MERGED,20,fix,,,
utensils,mcp-nixos,https://github.com/utensils/mcp-nixos/pull/10,MERGED,128,fix,ci,,
sublime-security,sublime-rules,https://github.com/sublime-security/sublime-rules/pull/2469,MERGED,310,feat,,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30423,MERGED,32708,refactor,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/111,MERGED,29,feat,test,,
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30458,MERGED,32708,refactor,,,
blackkittylabs,kittynode,https://github.com/blackkittylabs/kittynode/pull/614,MERGED,64,docs,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/117,MERGED,29,feat,,,
renlabs-dev,torus-ts,https://github.com/renlabs-dev/torus-ts/pull/140,MERGED,12,fix,test,refactor,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/695,MERGED,126,refactor,feat,,
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/15824,MERGED,9923,feat,,,
grafana,loki,https://github.com/grafana/loki/pull/16510,MERGED,25582,docs,,,
ComposioHQ,composio,https://github.com/ComposioHQ/composio/pull/1567,MERGED,25453,docs,,,
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/89,MERGED,29,fix,,,
alexei-led,aws-mcp-server,https://github.com/alexei-led/aws-mcp-server/pull/10,MERGED,121,refactor,docs,test,
cloudflare,workerd,https://github.com/cloudflare/workerd/pull/3893,MERGED,6767,build,,,
sakaiproject,sakai,https://github.com/sakaiproject/sakai/pull/13513,MERGED,1151,fix,,,
PipedreamHQ,pipedream,https://github.com/PipedreamHQ/pipedream/pull/16010,MERGED,9923,build,,,
allenai,open-instruct,https://github.com/allenai/open-instruct/pull/598,MERGED,2994,feat,,,
567-labs,instructor,https://github.com/567-labs/instructor/pull/1375,MERGED,10691,perf,feat,test,
codefriar,sf-mcp,https://github.com/codefriar/sf-mcp/pull/1,MERGED,28,feat,fix,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1731,MERGED,250,refactor,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/101,MERGED,77,fix,refactor,,
turlockmike,hataraku,https://github.com/turlockmike/hataraku/pull/83,MERGED,31,feat,docs,test,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/742,MERGED,126,feat,,,
tomakado,dumbql,https://github.com/tomakado/dumbql/pull/21,MERGED,46,test,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/628,MERGED,126,refactor,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/269,MERGED,646,fix,refactor,test,
waldzellai,waldzell-mcp,https://github.com/waldzellai/waldzell-mcp/pull/20,MERGED,109,ci,build,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/481,MERGED,126,feat,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/687,MERGED,126,build,,,
brentyi,tyro,https://github.com/brentyi/tyro/pull/274,MERGED,646,refactor,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/652,MERGED,126,fix,docs,,
prescient-design,cortex,https://github.com/prescient-design/cortex/pull/17,MERGED,41,feat,fix,test,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/629,MERGED,126,build,,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/110,MERGED,77,build,,,
dxos,dxos,https://github.com/dxos/dxos/pull/8814,MERGED,429,build,,,
nerfstudio-project,viser,https://github.com/nerfstudio-project/viser/pull/440,MERGED,1223,fix,,,
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/56,MERGED,23,feat,refactor,,
aleph-im,pyaleph,https://github.com/aleph-im/pyaleph/pull/771,MERGED,90,build,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/508,MERGED,126,fix,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/595,MERGED,126,refactor,fix,,
dbieber,GoNoteGo,https://github.com/dbieber/GoNoteGo/pull/93,MERGED,77,style,,,
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/544,MERGED,126,chore,,,
expectedparrot,edsl,https://github.com/expectedparrot/edsl/pull/1728,MERGED,250,fix,test,,
qltysh,qlty,https://github.com/qltysh/qlty/pull/1589,MERGED,2655,fix,,,
honeycombio,honeycomb-mcp,https://github.com/honeycombio/honeycomb-mcp/pull/32,MERGED,23,feat,ci,,
etalab,admin_api_entreprise,https://github.com/etalab/admin_api_entreprise/pull/1835,MERGED,11,fix,refactor,test,
