owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login,state
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/728,728,126,1,1,3,0,a0b14d205040f05f6e0bf479d14311be86c9c3f9,f4b8ea3aa68961784c25284f4005a5ed8f9540ba,fa15593fa7b577c343c1e1ec085fef50f666cde9,a0b14d205040f05f6e0bf479d14311be86c9c3f9,toyamarinyon,MERGED
mattermost,mattermost,https://github.com/mattermost/mattermost/pull/30624,30624,32708,2,2,4,2,28c4c16c1781e340be90bb817022378463e9b7a1,d0c4780eb18ce07ddfb699d3a08559109f8d85eb,eea39a5f2357fc549ec9bf4037f4926cdbe95aca,de6ceb5b3f3c889d5a529b8d43e1013822b828d5,hanzei,MERGED
compiler-explorer,infra,https://github.com/compiler-explorer/infra/pull/1598,1598,373,17,8,1167,0,2d543eba0bd1d852fe12c3431aa72907f30d0906,597ddfa770130c0006f201e34e903760c952d82a,59426843d7a3832a02cd484009bf72acc1630454,b82691e63b3144a988c2da3f1295ed331eca799d,mattgodbolt,MERGED
douvy,btc-tooling,https://github.com/douvy/btc-tooling/pull/11,11,27,3,6,403,5,fe9157cb82a6267a8934a5b6cca2cd82fbf65549,a54426ca917b18f98181d704b8c0c538dffa7c4f,50fbca3a15a21779c709675a7ee9849834500787,433c4b43b39129fc079544bacca079f575807b84,douvy,MERGED
Shopify,app_profiler,https://github.com/Shopify/app_profiler/pull/166,166,247,1,5,34,30,9062ad0fb8c9a05169f4f69ebaeac85a2c76ebfa,e2c8de85632123432fa50b6c4f1d8c349a048ebf,8ad161b1e707dc0e3257e13af82b4f5592de92c1,9062ad0fb8c9a05169f4f69ebaeac85a2c76ebfa,rwstauner,MERGED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/22,22,20,1,1,3,0,8ca1da6a5f8817331f905685e46a5fb6891eda84,50c15c805d6aefb85878f5463407d7edb3c3cd74,c1501b88a5177456fbae9dbeaf2900a81be76492,8ca1da6a5f8817331f905685e46a5fb6891eda84,aklinker1,MERGED
yumemi-inc,Tart,https://github.com/yumemi-inc/Tart/pull/105,105,29,1,2,9,0,43942d725c55dc8e18200f7f12918c46d31e51e8,3fdaba21cdc6a6280529f50e67d19892e4a1896e,3f239962474ff2b26cad73063ce8814986223c7f,43942d725c55dc8e18200f7f12918c46d31e51e8,hkusu,MERGED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/17,17,20,1,1,4,0,ceca77d919345c62baebbe4391832cdf833c1280,aac4b54b66b6f06e99edeba5cb58b89c0a17d8cb,19dab2543fc077584211b67b95522a6058bcc444,ceca77d919345c62baebbe4391832cdf833c1280,aklinker1,MERGED
giselles-ai,giselle,https://github.com/giselles-ai/giselle/pull/724,724,126,1,3,213,0,495c79628771c224a0491b4d1d7cac5e5f3f6910,6d4b943c386304b0d1d65b93d0557264d731c38c,dc5c06b6c1634ccfd5446ae08e285b520e179ba6,495c79628771c224a0491b4d1d7cac5e5f3f6910,toyamarinyon,MERGED
aklinker1,bunv,https://github.com/aklinker1/bunv/pull/24,24,20,2,4,4,13,fd03de959c50c7e0fd05c946a4295f0363958b23,8f5d99029f8ae3d6df72094b9bc4c997fd327882,835f458dbb65c6f5b70157253f3c649b21e91e3b,a9a555a8a687ffdf05f6b39a7eef5f56d2556df0,aklinker1,MERGED
