owner,repo_name,url,pull_number,stars,total_commits,changed_files,added_lines,deleted_lines,first_commit_sha,merge_commit_sha,base_commit_sha,pr_final_head_sha,author_login
coder,coder,https://github.com/coder/coder/pull/16909,16909,9957,1,1,2,2,ccbb3c317a1fb9e8dd310576853b251dca78cccb,N/A,30179aeaac373a23c38989ba8f416dd3b21c443c,ccbb3c317a1fb9e8dd310576853b251dca78cccb,kylecarbs
coder,coder,https://github.com/coder/coder/pull/16910,16910,9957,1,4,207,11,da5451b928a9d374450bd1eb39f8fc85d9aafbbc,N/A,4987de654e622109718dfbefcf25280db50fb24b,da5451b928a9d374450bd1eb39f8fc85d9aafbbc,kylecarbs
coder,coder,https://github.com/coder/coder/pull/17003,17003,9957,1,3,12,12,0e24d5f5a305a79f8aa6a9101ae497943bafcc3b,N/A,bd243c17fb8c34598746c62faf9b5f8e09a8c8f8,0e24d5f5a305a79f8aa6a9101ae497943bafcc3b,hugodutka
coder,coder,https://github.com/coder/coder/pull/16975,16975,9957,1,5,139,0,b88f4305d60ad6d0c6a547ba5388b931860f0152,N/A,3ae55bbbf4818c8c75910cff106c7a045308e6aa,b88f4305d60ad6d0c6a547ba5388b931860f0152,kylecarbs
coder,coder,https://github.com/coder/coder/pull/16906,16906,9957,6,9,474,3,3eadfb5c68bda4d363125d0f305f31485649b0ad,N/A,30179aeaac373a23c38989ba8f416dd3b21c443c,ce0c77c3597290773cddb8b5e864a43e70d5f61d,kylecarbs
coder,coder,https://github.com/coder/coder/pull/16940,16940,9957,2,502,16589,24191,a2c107ca853268ccc52fd7cba323e013906eb733,N/A,1ec39f4c559f28d6b158b7c7c25c5fb1e5d1d9bd,2d4f87e42d7ae242bac0a9b6f66ac9688843007a,aslilac
coder,coder,https://github.com/coder/coder/pull/16936,16936,9957,1,1,10,2,aeecc7292c25d967bab99379d627d796f7b12575,N/A,673294deabafc0dc10ab4dfaaa71b2357cd35cab,aeecc7292c25d967bab99379d627d796f7b12575,mattvollmer
coder,coder,https://github.com/coder/coder/pull/16834,16834,9957,2,9,141,26,fafec8b11e0dc218109662aedf07d587e1ac635d,N/A,eddccbca5c3ce19b951f5f5c91ae097ea943ca2f,cdcf87e99cc8ab9b5e9582d4093c22b14aeccbeb,bpmct
coder,coder,https://github.com/coder/coder/pull/16907,16907,9957,1,3,132,0,38ce9c59c83c24e57e8cd51d5109d539290358fe,N/A,30179aeaac373a23c38989ba8f416dd3b21c443c,38ce9c59c83c24e57e8cd51d5109d539290358fe,bpmct
coder,coder,https://github.com/coder/coder/pull/16901,16901,9957,1,4,48,11,380bf63f514657dc06e496747f3e5422e5fc6d78,N/A,f6382fde224d98350eb2b98df5357d877c579247,380bf63f514657dc06e496747f3e5422e5fc6d78,kylecarbs
coder,coder,https://github.com/coder/coder/pull/16864,16864,9957,1,1,34,1,0b0217fd94aaf25abc9adeb8af920d00788f9b71,N/A,4b1da9b8967ec6358cfaf1804b83c71bb6ad7e4a,0b0217fd94aaf25abc9adeb8af920d00788f9b71,bpmct
bufbuild,buf,https://github.com/bufbuild/buf/pull/3651,3651,9920,1,1,62,1,30cc4dc0c9d568a4ce15141b323e98114def8459,N/A,8ca7e7c7cc2c9da040b25a34c7518e1e0a061b3a,30cc4dc0c9d568a4ce15141b323e98114def8459,iainmcgin
