owner,repo_name,pull_number,url,state,revision_commit,revision_total_additions,revision_total_deletions,revision_total_change_lines,revision_file_change,Co-authored commits number,initial_total_additions,initial_total_deletions,initial_change_lines,initial_file_change
honeycombio,honeycomb-mcp,28,https://github.com/honeycombio/honeycomb-mcp/pull/28,MERGED,3,311,101,412,1,2,209,73,282,4
honeycombio,honeycomb-mcp,36,https://github.com/honeycombio/honeycomb-mcp/pull/36,MERGED,20,1991,702,2693,11,17,840,101,941,8
honeycombio,honeycomb-mcp,44,https://github.com/honeycombio/honeycomb-mcp/pull/44,MERGED,3,25,12,37,2,0,396,172,568,10
honeycombio,honeycomb-mcp,54,https://github.com/honeycombio/honeycomb-mcp/pull/54,MERGED,2,313,19,332,3,0,552,608,1160,19
julep-ai,julep,391,https://github.com/julep-ai/julep/pull/391,MERGED,6,429,85,514,10,0,750,372,1122,17
llun,activities.next,73,https://github.com/llun/activities.next/pull/73,MERGED,2,20,14,34,0,0,759,883,1642,63
llun,activities.next,80,https://github.com/llun/activities.next/pull/80,MERGED,1,1,1,2,0,0,87,6,93,6
llun,activities.next,88,https://github.com/llun/activities.next/pull/88,MERGED,1,1,3,4,0,0,58,13,71,4
llun,activities.next,93,https://github.com/llun/activities.next/pull/93,MERGED,4,235,13,248,1,0,55,25,80,4
llun,activities.next,95,https://github.com/llun/activities.next/pull/95,MERGED,4,28,161,189,0,0,468,30,498,9
llun,feeds,428,https://github.com/llun/feeds/pull/428,MERGED,1,2,1,3,1,0,118,75,193,17
llun,feeds,498,https://github.com/llun/feeds/pull/498,MERGED,2,3,3,6,3,0,2,2,4,2
ltwlf,json-diff-ts,208,https://github.com/ltwlf/json-diff-ts/pull/208,MERGED,1,207,35,242,1,0,62,1,63,3
mattermost,mattermost,26997,https://github.com/mattermost/mattermost/pull/26997,MERGED,3,349,35,384,2,0,124,5,129,8
mattermost,mattermost,27368,https://github.com/mattermost/mattermost/pull/27368,MERGED,1,4,4,8,0,0,117,35,152,2
mattermost,mattermost,28291,https://github.com/mattermost/mattermost/pull/28291,MERGED,1,9,13,22,2,0,4,5,9,1
mattermost,mattermost,28324,https://github.com/mattermost/mattermost/pull/28324,MERGED,4,10,9,19,3,0,16,5,21,2
mattermost,mattermost,28333,https://github.com/mattermost/mattermost/pull/28333,MERGED,2,18,5,23,0,0,26,0,26,1
